SP 1000 ,Valid Until ,01.07.2019 ,,
,,,,
DIVISION,ITEM CODE,SUPPLIER,ITEM DESCRIPTION,PRICE
,16-884,S/Mass Supplier,Bonita Nice 300*13G,26
,16-888,S/Mass Supplier,Lola Dig 120*50 Gr,54
,16-895,S/Mass Supplier,Lola Glucose 300*13,29
,16-896,S/Mass Supplier,Coconut Short Cake 48x85g,37
,16-900,S/Mass Supplier,Bonita Cream Chocolate 50*65,27
,16-901,S/Mass Supplier,Bon Cream Vanilla 50*65,27
,16-913,S/Mass Supplier,Zizou Choco,16
,16-914,S/Mass Supplier,Zizou Vanilla,16
,16-915,S/Mass Supplier,Zizou Strawbery,16
,16-916,S/Mass Supplier,Zizou Coconut,16
,16-971,S/Mass Supplier,Bonita Wafer Vanilla 35 Gr,35
,16-972,S/Mass Supplier,Bonita Wafer Chocolate 35 Gr,35
,16-973,S/Mass Supplier,Bonita Wafer Starwberry 35 Gr,35
,16-974,S/Mass Supplier,Bonita Wafer Vanilla Chocolate 35 Gr,35
,16-988,S/Mass Supplier,Mini Quality Cracker 300x12g,26
,17-190,S/Mass Supplier,Lola Quality Marie36x60,15
,17-194,S/Mass Supplier,Nice 72*50 Gr,32
,17-195,S/Mass Supplier,Zizou Banana,16
,17-202,S/Mass Supplier,Lola Gofret Vanilla 12Gr,16
,17-203,S/Mass Supplier,Lola Gofret Choclate 12 g,16
,17-204,S/Mass Supplier,Lola Gofret Strawberry 12 g,16
,17-206,S/Mass Supplier,Wafer Chocolate 72*35 Gr,35
,17-210,S/Mass Supplier,Quality Cracker 250x 24g,43
,17-211,S/Mass Supplier,Zizou Orange,16
,17-213,S/Mass Supplier,Salty Cracker 20*90 Gr,17
